D:\Tech\Project Idea\Data for sim\IMG\center_2020_06_15_19_41_14_570.jpg,D:\Tech\Project Idea\Data for sim\IMG\left_2020_06_15_19_41_14_570.jpg,D:\Tech\Project Idea\Data for sim\IMG\right_2020_06_15_19_41_14_570.jpg,0,0,0,0.0001215222
D:\Tech\Project Idea\Data for sim\IMG\center_2020_06_15_19_41_14_652.jpg,D:\Tech\Project Idea\Data for sim\IMG\left_2020_06_15_19_41_14_652.jpg,D:\Tech\Project Idea\Data for sim\IMG\right_2020_06_15_19_41_14_652.jpg,0,0,0,0.0001384882
D:\Tech\Project Idea\Data for sim\IMG\center_2020_06_15_19_41_14_768.jpg,D:\Tech\Project Idea\Data for sim\IMG\left_2020_06_15_19_41_14_768.jpg,D:\Tech\Project Idea\Data for sim\IMG\right_2020_06_15_19_41_14_768.jpg,0,0,0,0.0001241841
D:\Tech\Project Idea\Data for sim\IMG\center_2020_06_15_19_41_14_838.jpg,D:\Tech\Project Idea\Data for sim\IMG\left_2020_06_15_19_41_14_838.jpg,D:\Tech\Project Idea\Data for sim\IMG\right_2020_06_15_19_41_14_838.jpg,0,0,0,0.0002193948
D:\Tech\Project Idea\Data for sim\IMG\center_2020_06_15_19_41_14_956.jpg,D:\Tech\Project Idea\Data for sim\IMG\left_2020_06_15_19_41_14_956.jpg,D:\Tech\Project Idea\Data for sim\IMG\right_2020_06_15_19_41_14_956.jpg,0,0,0,2.762552E-05
D:\Tech\Project Idea\Data for sim\IMG\center_2020_06_15_19_41_15_081.jpg,D:\Tech\Project Idea\Data for sim\IMG\left_2020_06_15_19_41_15_081.jpg,D:\Tech\Project Idea\Data for sim\IMG\right_2020_06_15_19_41_15_081.jpg,0,0,0,6.108579E-06
D:\Tech\Project Idea\Data for sim\IMG\center_2020_06_15_19_41_15_204.jpg,D:\Tech\Project Idea\Data for sim\IMG\left_2020_06_15_19_41_15_204.jpg,D:\Tech\Project Idea\Data for sim\IMG\right_2020_06_15_19_41_15_204.jpg,0,0,0,2.315015E-05
D:\Tech\Project Idea\Data for sim\IMG\center_2020_06_15_19_41_15_327.jpg,D:\Tech\Project Idea\Data for sim\IMG\left_2020_06_15_19_41_15_327.jpg,D:\Tech\Project Idea\Data for sim\IMG\right_2020_06_15_19_41_15_327.jpg,0,0,0,0.0001190605
D:\Tech\Project Idea\Data for sim\IMG\center_2020_06_15_19_41_15_449.jpg,D:\Tech\Project Idea\Data for sim\IMG\left_2020_06_15_19_41_15_449.jpg,D:\Tech\Project Idea\Data for sim\IMG\right_2020_06_15_19_41_15_449.jpg,0,0,0,0.0001568181
D:\Tech\Project Idea\Data for sim\IMG\center_2020_06_15_19_41_15_564.jpg,D:\Tech\Project Idea\Data for sim\IMG\left_2020_06_15_19_41_15_564.jpg,D:\Tech\Project Idea\Data for sim\IMG\right_2020_06_15_19_41_15_564.jpg,0,0,0,0.000229806
